package_name,file_count
com.example,1
com.example.diagnostics,3
com.example.flux.modules.actions,12
com.example.flux.modules.actions.group,3
com.example.flux.modules.actions.permission,3
com.example.flux.modules.actions.role,3
com.example.flux.modules.actions.user,3
com.example.flux.modules.screens,9
com.example.flux.modules.screens.group,3
com.example.flux.modules.screens.permission,3
com.example.flux.modules.screens.role,3
com.example.flux.modules.screens.user,3
com.example.flux.tools,3
com.example.initializer,3
com.example.modules.actions,19
com.example.modules.screens,12
com.example.monitor,1
com.example.om,104
com.example.screens,3
com.example.security,2
com.example.services.pull,3
com.example.services.security,9
com.example.util,1
com.example.valves,1
com.example.wrapper,4
com.mycompany.webapp.flux.modules.actions,8
com.mycompany.webapp.flux.modules.actions.group,2
com.mycompany.webapp.flux.modules.actions.permission,2
com.mycompany.webapp.flux.modules.actions.role,2
com.mycompany.webapp.flux.modules.actions.user,2
com.mycompany.webapp.flux.modules.screens,6
com.mycompany.webapp.flux.modules.screens.group,2
com.mycompany.webapp.flux.modules.screens.permission,2
com.mycompany.webapp.flux.modules.screens.role,2
com.mycompany.webapp.flux.modules.screens.user,2
com.mycompany.webapp.flux.tools,2
com.mycompany.webapp.modules.actions,12
com.mycompany.webapp.modules.screens,8
com.mycompany.webapp.om,233
com.mycompany.webapp.services.pull,2
com.mycompany.webapp.services.security,6
com.mycompany.webapp.wrapper,2
com.uob.aspect,1
com.uob.config,4
com.uob.controller,8
com.uob.dto,8
com.uob.flux.modules.actions,8
com.uob.flux.modules.actions.group,2
com.uob.flux.modules.actions.permission,2
com.uob.flux.modules.actions.role,2
com.uob.flux.modules.actions.user,2
com.uob.flux.modules.screens,6
com.uob.flux.modules.screens.group,2
com.uob.flux.modules.screens.permission,2
com.uob.flux.modules.screens.role,2
com.uob.flux.modules.screens.user,2
com.uob.flux.tools,2
com.uob.migration.lab.legacy,1
com.uob.modules.actions,12
com.uob.modules.screens,11
com.uob.om,156
com.uob.portal.torque3,3
com.uob.portal.torque3.dto,1
com.uob.portal.torque3.map,1
com.uob.portal.torque3.turbine,5
com.uob.portal.torque7,3
com.uob.portal.torque7.metadata,3
com.uob.portal.torque7.om,8
com.uob.service,2
com.uob.service.adapter,2
com.uob.services.pull,4
com.uob.services.security,3
com.uob.turbine.modules.actions,1
com.uob.turbine.query,5
com.uob.wrapper,2
org.apache.torque.linkage,1
org.apache.turbine.test.integrationtest.flux.modules.actions,4
org.apache.turbine.test.integrationtest.flux.modules.actions.group,1
org.apache.turbine.test.integrationtest.flux.modules.actions.permission,1
org.apache.turbine.test.integrationtest.flux.modules.actions.role,1
org.apache.turbine.test.integrationtest.flux.modules.actions.user,1
org.apache.turbine.test.integrationtest.flux.modules.screens,3
org.apache.turbine.test.integrationtest.flux.modules.screens.group,1
org.apache.turbine.test.integrationtest.flux.modules.screens.permission,1
org.apache.turbine.test.integrationtest.flux.modules.screens.role,1
org.apache.turbine.test.integrationtest.flux.modules.screens.user,1
org.apache.turbine.test.integrationtest.flux.tools,1
org.apache.turbine.test.integrationtest.modules.actions,6
org.apache.turbine.test.integrationtest.modules.screens,4
org.apache.turbine.test.integrationtest.om,64
org.apache.turbine.test.integrationtest.services.pull,1
org.apache.turbine.test.integrationtest.services.security,3
org.apache.turbine.test.integrationtest.wrapper,1
org.example.modules.screens,1
org.example.services,2
org.example.turbine.actions,1
