folder_name,java_file_name,class_name,method_name,return_type,parameters,modifiers,throws,signature_text,line_number
turbine-model-controller/src/main/java/wrapper,TurbineUserWrapper.java,TurbineUserWrapper,TurbineUserWrapper,constructor,TurbineUser user,public,,public TurbineUserWrapper TurbineUserWrapper(TurbineUser user),33
turbine-model-controller/src/main/java/services/pull,RelatedTool.java,RelatedTool,init,void,Object data,public,,public void init(Object data),46
turbine-model-controller/src/main/java/services/pull,RelatedTool.java,RelatedTool,refresh,void,RunData data,public,,public void refresh(RunData data),52
turbine-model-controller/src/main/java/services/pull,RelatedTool.java,RelatedTool,getUserrole,String,,public,,public String getUserrole(),56
turbine-model-controller/src/main/java/services/pull,RelatedTool.java,RelatedTool,getJson,Object,"Object src, String className, String mixinCN, Boolean refresh, String... props",public,,"public Object getJson(Object src, String className, String mixinCN, Boolean refresh, String... props)",86
turbine-model-controller/src/main/java/modules/actions,ChangePasswordAction.java,ChangePasswordAction,doPerform,void,PipelineData pipelineData,public,Exception,public void doPerform(PipelineData pipelineData) throws Exception,49
turbine-model-controller/src/main/java/modules/actions,ChangePasswordAction.java,ChangePasswordAction,doPerform,void,"PipelineData data, Context context",public,Exception,"public void doPerform(PipelineData data, Context context) throws Exception",75
turbine-model-controller/src/main/java/modules/actions,LoginUser.java,LoginUser,doPerform,void,PipelineData pipelineData,public,FulcrumSecurityException,public void doPerform(PipelineData pipelineData) throws FulcrumSecurityException,72
turbine-model-controller/src/main/java/modules/actions,LoginUser.java,LoginUser,reset,void,RunData data,private,UnknownEntityException,private void reset(RunData data) throws UnknownEntityException,96
turbine-model-controller/src/main/java/modules/actions,LoginUserIntake.java,LoginUserIntake,doPerform,void,PipelineData pipelineData,public,FulcrumSecurityException,public void doPerform(PipelineData pipelineData) throws FulcrumSecurityException,75
turbine-model-controller/src/main/java/modules/actions,LoginUserIntake.java,LoginUserIntake,reset,void,RunData data,private,UnknownEntityException,private void reset(RunData data) throws UnknownEntityException,155
