package_name,file_count
com.uob.aspect,1
com.uob.config,2
com.uob.controller,5
com.uob.dto,4
com.uob.flux.modules.actions,4
com.uob.flux.modules.actions.group,1
com.uob.flux.modules.actions.permission,1
com.uob.flux.modules.actions.role,1
com.uob.flux.modules.actions.user,1
com.uob.flux.modules.screens,3
com.uob.flux.modules.screens.group,1
com.uob.flux.modules.screens.permission,1
com.uob.flux.modules.screens.role,1
com.uob.flux.modules.screens.user,1
com.uob.flux.tools,1
com.uob.modules.actions,6
com.uob.modules.screens,6
com.uob.modules.screens.admin,4
com.uob.om,156
com.uob.service,1
com.uob.service.adapter,1
com.uob.services.pull,2
com.uob.webapp,5
com.uob.webapp.ecs,1
com.uob.webapp.psml,4
com.uob.wrapper,1
org.apache.jetspeed.modules.actions,2
