folder_name,java_file_name,class_name,method_name,return_type,parameters,modifiers,throws,signature_text,line_number
src/test/java/com/uob/portal/torque3,GtpUserLegacyCrudServiceIT.java,GtpUserLegacyCrudServiceIT,beforeAll,void,,static,Exception,static void beforeAll() throws Exception,34
src/test/java/com/uob/portal/torque3,GtpUserLegacyCrudServiceIT.java,GtpUserLegacyCrudServiceIT,afterAll,void,,static,Exception,static void afterAll() throws Exception,53
src/test/java/com/uob/portal/torque3,GtpUserLegacyCrudServiceIT.java,GtpUserLegacyCrudServiceIT,applySchema,void,,private static,Exception,private static void applySchema() throws Exception,57
src/test/java/com/uob/portal/torque3,GtpUserLegacyCrudServiceIT.java,GtpUserLegacyCrudServiceIT,crud_roundTrip,void,,,Exception,void crud_roundTrip() throws Exception,76
src/main/java/com/uob/portal/torque3,GtpUserLegacyCrudService.java,GtpUserLegacyCrudService,GtpUserLegacyCrudService,constructor,,private,,private GtpUserLegacyCrudService GtpUserLegacyCrudService(),28
src/main/java/com/uob/portal/torque3,GtpUserLegacyCrudService.java,GtpUserLegacyCrudService,insert,GtpUserRow,"String loginName, String passwordValue, String firstName, String lastName, String email",public static,"TorqueException, SQLException, DataSetException","public static GtpUserRow insert(String loginName, String passwordValue, String firstName, String lastName, String email) throws TorqueException, SQLException, DataSetException",30
src/main/java/com/uob/portal/torque3,GtpUserLegacyCrudService.java,GtpUserLegacyCrudService,findAll,List<GtpUserRow>,,public static,"TorqueException, DataSetException","public static List<GtpUserRow> findAll() throws TorqueException, DataSetException",56
src/main/java/com/uob/portal/torque3,GtpUserLegacyCrudService.java,GtpUserLegacyCrudService,findByUserId,GtpUserRow,int userId,public static,"TorqueException, DataSetException","public static GtpUserRow findByUserId(int userId) throws TorqueException, DataSetException",66
src/main/java/com/uob/portal/torque3,GtpUserLegacyCrudService.java,GtpUserLegacyCrudService,findByLoginName,GtpUserRow,String loginName,public static,"TorqueException, SQLException, DataSetException","public static GtpUserRow findByLoginName(String loginName) throws TorqueException, SQLException, DataSetException",78
src/main/java/com/uob/portal/torque3,GtpUserLegacyCrudService.java,GtpUserLegacyCrudService,updateEmail,boolean,"int userId, String email",public static,"TorqueException, SQLException","public static boolean updateEmail(int userId, String email) throws TorqueException, SQLException",101
src/main/java/com/uob/portal/torque3,GtpUserLegacyCrudService.java,GtpUserLegacyCrudService,deleteByUserId,boolean,int userId,public static,"TorqueException, SQLException","public static boolean deleteByUserId(int userId) throws TorqueException, SQLException",113
src/main/java/com/uob/portal/torque3,GtpUserLegacyCrudService.java,GtpUserLegacyCrudService,mapRecord,GtpUserRow,Record row,private static,DataSetException,private static GtpUserRow mapRecord(Record row) throws DataSetException,124
src/main/java/com/uob/portal/torque3,Torque3RuntimeBootstrap.java,Torque3RuntimeBootstrap,Torque3RuntimeBootstrap,constructor,,private,,private Torque3RuntimeBootstrap Torque3RuntimeBootstrap(),19
src/main/java/com/uob/portal/torque3,Torque3RuntimeBootstrap.java,Torque3RuntimeBootstrap,resetForTesting,void,,public static,TorqueException,public static void resetForTesting() throws TorqueException,24
src/main/java/com/uob/portal/torque3,Torque3RuntimeBootstrap.java,Torque3RuntimeBootstrap,initFromClasspath,void,,public static,TorqueException,public static void initFromClasspath() throws TorqueException,33
src/main/java/com/uob/portal/torque3,Torque3RuntimeBootstrap.java,Torque3RuntimeBootstrap,initFromConfiguration,void,PropertiesConfiguration cfg,public static,TorqueException,public static void initFromConfiguration(PropertiesConfiguration cfg) throws TorqueException,59
src/main/java/com/uob/portal/torque3,Torque3RuntimeBootstrap.java,Torque3RuntimeBootstrap,initFromConfigurationLocked,void,PropertiesConfiguration cfg,private static,TorqueException,private static void initFromConfigurationLocked(PropertiesConfiguration cfg) throws TorqueException,68
